"LOCATION","MEAN_RATE_NEO","MEAN_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","TAX_PPP_LAGGED2","PUBLIC_EXP_LAGGED2","PROP_PUBLIC_HEALTH_EXP_LAGGED2","OOP_PPP_LAGGED3","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","pop","POP_DENS","INCOME_CLASS","LONG","LAT"
"Equatorial Guinea",982.061308125768,970.124873865828,4.63333333333333,0.022709958328054,25895.5237682903,25614.5359352385,9325.4724173688,0.014888898728923,301.961109632962,NA,NA,5.41705839475229,8.28000005086263,64.6218790828926,61.6416227104663,9.00900014241537,NA,10,NA,NA,-1.48534266666667,-1.639677,0.2063918,-1.38608233333333,-1.28734866666667,NA,NA,68.3,5.93333333333333,452.443333333333,37,2.1,65.9330856323242,67.476,28050,1078306.25348466,38.4422906768151,"UM",10.366031325064,1.64586431996008
"Estonia",998.669305900515,998.227534112046,1.6,0.175413806896016,24180.6779560391,48196.3930509226,9062.61596298233,0.120078104461041,261.974637084146,24.7333333333333,0.466666666666667,3.96244876922095,13.0186669031779,99.2817060622541,99.5728415748891,11.5876665115356,6.25812,21.1333333333333,6.25894333333333,2.79935333333333,1.0479021,1.038992,0.636291166666667,1.39951366666667,1.16687133333333,2.76666666666667,3.27046666666667,99.3333333333333,0.766666666666667,NA,93.6666666666667,5.33333333333333,100,68.011,45230,1328371.93442391,29.369266734997,"H",25.8247256130266,58.6436954266309
"Ethiopia",975.108202354251,969.504448594784,5.25,0.0256443405010139,1632.55046953731,1262.44361422066,252.990072762393,0.10514596209693,24.1664402838354,27.4,9,21.8411926209802,2.29200005531311,5.94081213217516,34.3087955379468,3.00933329264323,2.02619666666667,27.8,2.18338666666667,41.0545366666667,-0.650385266666667,-0.447220433333333,-1.56877866666667,-0.972681266666667,-0.739564333333333,30.5666666666667,0.022,10,1.3,98.55,62.6666666666667,6.3,25.4656174977621,17.738,1104300,88463390.7133349,80.1081143831703,"L",39.5512557929377,8.65399918813258
"Fiji",988.042880817435,986.625041176662,2.78666666666667,0.0483475882030995,8558.07342620668,18574.8669566966,2357.24323764184,0.078396844026834,60.9171923359285,NA,NA,4.79668277970174,4.42433341344198,90.2001595151379,94.0422932163332,4.72366666793823,6.59643,NA,6.30018,3.073875,-0.231690566666667,-0.7561486,-0.1099635,-0.5804917,-0.821389866666667,4.46666666666667,0.426,99.5333333333333,NA,NA,99,2.3,91.0493087768555,52.6833333333333,18270,880342.491373304,48.1851391008924,"UM",163.85316464458,-17.3163094263826
"Finland",998.763494247736,998.983492198663,1.80666666666667,0.181343935168756,37500.4924724515,76634.5365705427,21339.8869860649,0.128028478077349,623.628901965541,22.5,0,2.46975966657145,7.95466677347819,99.4479605099616,100.000001501776,7.2653333346049,6.61539,41.6666666666667,6.46237,1.77616,2.19788033333333,2.23031866666667,1.40594766666667,1.84154566666667,1.95657566666667,2.5,3.0141,99.7666666666667,0.1,NA,99,5.56666666666667,100,84.308,338420,5400714.27079798,15.9586143573015,"H",26.2117646102964,64.5040940396365
"France",997.895651590407,998.149143390189,1.95666666666667,0.169396706998065,38677.7723955958,89078.4585289162,21774.1769703519,0.154147904699452,405.129131154164,26.9333333333333,0,1.86563865736476,9.02733325958252,98.654712473965,99.9821259786521,9.18333307902018,7.45081666666667,21.5666666666667,7.4258,1.27565333333333,1.484854,1.37657466666667,0.6130073,1.201358,1.47363033333333,2.5,3.1636,96.9333333333333,0.3,NA,99,6.56666666666667,100,78.623,549086.9921875,64010180.4715819,116.575663569397,"H",-2.87669669927055,42.4607043266338
"Gabon",977.806083501814,977.74315564421,3.26,0.0406171464588078,11871.7391589651,17723.6377703985,3315.66410955961,0.058894739494353,73.2903330373219,NA,NA,1.79242646417838,20.3176663716634,44.3113050138994,84.2873683020332,29.1529998779297,NA,14.9,NA,NA,-0.8185406,-0.824002166666667,0.3258205,-0.561045466666667,-0.4826964,10.0666666666667,NA,89.3,4.1,180.626666666667,74.6666666666667,6.3,86.7390889485677,86.0863333333333,267670,1528547.59175964,5.71056745903402,"UM",11.687751174902,-0.647048139804029
"Georgia",993.540083281265,995.289639677003,2.09,0.138284875061547,7192.32565020499,15465.6995709172,1940.16145195939,0.081890681769626,348.854296973028,29.5333333333333,3.23333333333333,NA,17.3233331044515,91.5001675389812,96.0079807667576,15.6193335851033,NA,8.36666666666667,NA,NA,0.175863066666667,0.489587233333333,-0.6852423,0.6505901,-0.116151966666667,7.96666666666667,4.38313333333333,99.7333333333333,0.233333333333333,0,92.6666666666667,2.76666666666667,99.7119903564453,55.919,69700,3925584.77027172,56.3211588274278,"LM",43.4815426540903,42.162015014153
"Germany",997.749574078941,998.333027296247,1.36666666666667,0.205701861075188,43696.8842383215,48301.6631630602,18695.2205613662,0.206908097242351,571.879269611559,24.15,0,1.7291582025422,6.0563333829244,99.2245477960777,100,5.75,8.90333666666667,32.8666666666667,9.11432,NA,1.78304,1.57316733333333,0.804891433333333,1.55467,1.637452,2.5,3.83806666666667,98.3666666666667,0.1,NA,95.3333333333333,8.2,100,77.0986666666667,357145.6640625,81610402.6148115,228.507331396665,"H",10.2884850927429,51.1337226904078
"Ghana",974.919333520292,973.231617610852,3.75333333333333,0.0340425235047233,2582.79505474373,2787.86504684209,748.001529170989,0.0972527252056443,43.1713824789683,31.7,3.5,8.85358500435182,5.74466673533122,14.5759695647606,75.3723248356505,6.22033325831095,3.78957,8.3,4.02827,NA,-0.0469185333333333,-0.0456240666666667,0.107966766666667,0.1229831,-0.0074845,5.56666666666667,0.0949,67.2,1.86666666666667,364.106666666667,92.3333333333333,0.9,66.1299765633138,51.3933333333333,238540,25891791.8681621,108.542767955739,"LM",-1.2369685557064,7.92865181309965
