"LOCATION","INCOME_CLASS","RATE_NEO_2017","RATE_U5_2017","RATE_NEO_U5_2017","RATE_NEO_2016","RATE_U5_2016","RATE_NEO_U5_2016","DELTA_RATE_NEO","DELTA_RATE_U5","DELTA_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","PROP_PUBLIC_HEALTH_EXP_LAGGED2","PUBLIC_EXP_LAGGED2","TAX_PPP_LAGGED3","OOP_PPP_LAGGED4","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","LONG","LAT"
"India","LM",23.2622326193736,42.1623877268857,18.9001551075121,24.5304911908732,44.9718179365473,20.4413267456741,-1.26825857149965,-2.80943020966161,-1.54117163816194,2.7,0.0532751612645528,4934.59367924516,0.0312932910920854,1173.10697981062,488.144182460744,75.6487808219912,30,7,11.4358714308005,2.45949995517731,40.1917083262987,86.5330754244374,3.2719999551773,4.110465,10.8,4.28241,16.20396,-0.4681174,0.0259907,-1.277984,-0.3786293,-0.0117854,17.6,0.64355,83.15,0.1,17.81,76.5,3.6,75.65,30.7585,3287260,79.5937037632538,22.9250064074085
"Indonesia","LM",14.1217669425042,27.1381467672428,13.0163798247387,14.6846752711808,28.4444499580531,13.7597746868722,-0.562908328676661,-1.30630319081024,-0.743394862133581,2.31,0.0497779039320179,8394.90529513981,0.055680015453709,1448.62751852809,654.984868613663,91.5506178474108,28.85,3.2,4.7603097789133,5.85999989509583,59.050321127329,83.9343485252614,6.54850006103516,4.43791,17.95,4.42197,18.955785,-0.7513602,-0.2143052,-0.8539162,-0.415857,-0.62130835,14.55,0.1417,82.2,0.4,11.26,79.5,0.6,93.85,49.524,1910930,117.423407562274,-2.22173793652054
"Ireland","H",2.12696832718779,3.47163901389802,1.34467068671023,2.1592284990235,3.52088123750421,1.36165273848071,-0.0322601718357078,-0.0492422236061909,-0.0169820517704826,2.015,0.112106359585522,63678.0118607081,0.181068865481661,17917.3759413678,4954.52150817655,547.500158436548,25.2,0.3,-2.70009961026462,13.5710000991822,90.4954882646546,97.3067406902849,10.4514999389649,5.898295,13.9,5.74202,0.91098,1.688269,1.349588,1.020165,1.620827,1.759283,2.5,4.08635,99.8,0.15,0.37,94,3.1,100,61.442,70280,-8.01023654487701,53.1805912099501
"Israel","H",1.90722398136984,3.57178059218749,1.66455661081765,2.02304008862616,3.7685261304239,1.74548604179774,-0.115816107256325,-0.196745538236407,-0.0809294309800825,2.9,0.0965720211146625,32875.513978202,0.112820252855286,12805.3988764435,697.716644711902,442.097278410339,31.2,0.1,3.01828575079685,9.00699996948243,100.000002501499,100.000002501499,8.56549978256226,6.203595,18.75,6.13224,0.19717,0.7551451,1.391521,-1.341152,1.216991,0.8786862,2.5,3.4114,95,0.1,0.24,95.5,3.2,100,91.7945,22070,35.003851206429,31.4849193900197
"Italy","H",1.88497825199563,3.2109150457967,1.32593679380106,1.95192102656536,3.34166906429417,1.38974803772881,-0.0669427745697229,-0.130754018497473,-0.0638112439277507,1.405,0.201746988791355,34115.8098502759,0.133626230550662,17355.5811866577,4443.88608619642,599.708890597981,25.75,0.75,1.15014207628493,8.05599999427795,98.7689128125471,99.6478698011336,9.41849994659424,8.048855,21.3,8.09789,0.53251,0.1269229,0.4419097,0.4739237,0.8963356,0.41753415,2.5,3.802,99.85,0.3,0.15,96,3.6,100,68.268,301340,12.1407883722359,42.7511830529643
"Jamaica","UM",13.2485888896561,18.4637909764087,5.2152020867526,13.5959663062538,18.9262238854903,5.3302575792365,-0.347377416597691,-0.462432909081592,-0.115055492483898,1.91,0.0791184372256394,4242.58481556082,0.118724226659369,1129.02180635064,463.351711559244,50.0720250779818,31.2,0.1,11.0916477563168,11.8640003204346,84.8451317702969,91.4452306363056,15.5720000267029,4.780075,13.3,4.653345,0.763185,-0.231325,0.2153889,-0.4295415,0.2788525,-0.4394446,8.7,1.2704,98.3,2.1,1,92,1.75,92.2746353149414,53.65,10990,-77.3242548016489,18.1376361278684
"Japan","H",1.04738707826903,2.61202221359039,1.56463513532136,1.08185281701958,2.68248082206278,1.6006280050432,-0.0344657387505514,-0.0704586084723919,-0.035992869721841,1.32,0.225874878611629,39915.3536354079,0.224437700228103,15595.8537353799,2455.06044720717,453.483751410135,24.05,0.35,-1.03640807933818,5.09999990463257,99.9525307269192,98.7086458333333,4.71950006484986,5.628485,11.3,5.50471,2.15354,1.560462,1.527669,0.8793532,1.018737,1.310104,2.5,2.247,99.8,0.1,0.86,97,13.7,100,90.4005,377948.49609375,138.064962132708,37.6631108117046
"Jordan","LM",10.9203716613443,17.9411697242308,7.02079806288648,11.3578306805278,18.6281033961841,7.27027271565631,-0.437459019183445,-0.686933671953277,-0.249474652769829,3.68,0.0325257947235424,9041.57004383754,0.139289228859968,3202.4139711103,180.264989510175,186.912263475385,27.5,0,2.04979554527765,12.6999998092652,97.921388342384,99.1448765461803,23.1119995117188,4.94576,8.6,4.88809,11.82405,0.0411859,0.1036845,-0.3124925,0.2260692,0.22187815,8.05,2.20425,96.435,0.1,1.56,98,1.8,99.4867279052735,85.508,89320,36.7794549063252,31.2454905847484
"Kazakhstan","UM",7.08748103132253,14.8207115708689,7.73323053954635,7.28685950568467,15.2132196085561,7.9263601028714,-0.199378474362142,-0.392508037687191,-0.19312956332505,2.465,0.0695608407045296,6881.56669620773,0.0907563021839375,1295.87262030888,-2517.2807370127,41.166372606743,23.1,0,7.35827107314997,6.16000008583068,97.361473027046,90.8578357998919,7.09299993515015,6.99121,17.8,6.96137,0.605385,-0.9978565,-0.4361029,0.5229718,-0.3300233,-0.63079265,3.25,3.58685,99.7,0.1,0.07,98.5,7.45,99.8185615539551,56.791,2724901.875,67.2846109811001,48.1916607521823
"Korea, Rep.","H",1.47105779717096,3.31639219173302,1.84533439456206,1.47952167685778,3.33122375477718,1.8517020779194,-0.00846387968682083,-0.014831563044166,-0.00636768335734494,1.245,0.109046514850173,32642.2426350632,0.123709627995046,9575.01627456318,2041.60314867865,579.998828648648,24.2,0.2,2.8479339183259,3.64999997615814,100,98.9457588210446,3.1230000257492,5.76273,14.7,5.77521,0.39789,0.4694922,1.204664,0.3258958,0.934835,0.99879915,2.5,1.9885,99.9,0.5,0.37,94,10.3,100,81.8855,99965,127.821317128331,36.4275986041549
"Kuwait","H",4.50823566633735,7.38078947351149,2.87255380717414,4.84482822577317,7.98180496169915,3.13697673592597,-0.336592559435826,-0.601015488187659,-0.264422928751833,2,0.0321102906784515,89773.8785277625,0.0596913197122468,36006.1763104207,-656.111430585922,395.165883768357,20.65,0,4.55299918108786,1.73000001907349,100,100,3.00650000572205,6.91275,7.7,6.80356,2.8399,0.3022288,0.1686341,0.4519888,0.1599515,0.5890148,2.5,2.15945,98.65,0.1,0,98.5,2,100,100,17820,47.6000988876264,29.3072666340336
"Latvia","H",2.46279834180742,4.86048953044479,2.39769118863737,2.50855558484184,4.93723676028598,2.42868117544414,-0.0457572430344197,-0.0767472298411889,-0.0309899868067696,1.385,0.181522354088255,21217.7617924864,0.0857376495777396,7396.82907100311,4586.87777056369,346.095749832357,26.5,0.85,1.22473538921891,18.4984998703003,90.2424559041347,98.2396496135482,15.205500125885,5.97261,21,5.946675,0.5155,0.2283071,0.70881,0.527854,0.9836758,0.8010785,2.5,3.39405,98.85,0.3,9.63,93,6.2,100,67.8275,64535,24.8332961498034,56.8071751342792
"Lebanon","UM",3.41290123269748,6.48243706684637,3.0695358341489,3.54690462070065,6.63596171255797,3.08905709185732,-0.134003388003173,-0.153524645711599,-0.0195212577084258,2.845,0.0554189192999574,11789.3709638242,0.135588762640074,3640.06466199832,-2001.44599233055,414.228261353645,29.2,4.9,2.58928806510689,6.40849995613098,86.7712387820513,89.7414686072829,10.6240000724792,4.614345,3.1,4.581255,16.33382,-0.8750964,-0.2792296,-1.625015,0.0541962,-0.69416895,4.15,2.6707,94.7,0.1,0.01,81.5,3.5,99.9135551452636,87.2605,10450,35.8709863200164,33.9118272078199
"Lesotho","LM",22.6847671175547,54.5510803220737,31.866313204519,23.1009672155886,55.9991520506922,32.8981848351036,-0.41620009803389,-1.44807172861851,-1.03187163058461,3.15,0.0447566572127978,2094.27192179498,0.141508046143618,1096.84467285629,1798.95429263588,28.444847592018,40.9,31.8,5.48885043836985,27.4254999160766,29.0184674584291,67.9067356357015,32.5310001373291,2.91179,24.2,2.49283,18.82487,0.1685703,-0.3121285,0.4567754,-0.5963897,-0.24455505,12.6,0.0676,61.5,24,3.91,92,1.7,17.9677362442016,24.5455,30360,28.1701052951705,-29.625290493692
"Lithuania","H",2.23790836324535,4.86773856000559,2.62983019676024,2.39814548919489,5.20880463077614,2.81065914158125,-0.160237125949542,-0.341066070770556,-0.180828944821014,1.72,0.172305538586331,25440.4565882969,0.116514279642017,8370.38222841074,2679.54856494576,323.665771309078,26.2,1.1,2.88612225643307,15.7994995117188,89.295678881335,94.0231964651428,12.523000240326,8.347095,19.1,8.372695,0.680875,0.3767319,0.7432536,0.7152606,0.962145,0.7551976,2.5,3.9138,100,0.1,3.22,96.5,7,100,66.7995,65300,23.8806402758435,55.2843194847661
"Luxembourg","H",1.11802903367057,2.0871535045909,0.969124470920335,1.16912112334856,2.1945606159352,1.02543949258664,-0.0510920896779932,-0.107407111344302,-0.0563150216663096,1.6,0.140200416841405,91912.2787479918,0.1279897587726,37126.5532479094,8119.22376770264,542.829421887704,23.9,0,1.32086055705217,4.74150013923645,97.6432521774271,99.9999984714658,5.6119999885559,7.20941,20,7.11105,1.72025,2.046461,1.721774,1.461219,1.676335,1.8393145,2.5,2.7643,99.9,0.2,0,99,5.5,100,88.3625,2590,5.965223432344,49.765705074151
"Madagascar","L",26.3691275565545,73.789777293406,47.4206497368515,27.0727077364072,76.4339755491544,49.3612678127472,-0.703580179852743,-2.64419825574844,-1.94061807589569,5.235,0.0230715072623108,33.0065037655843,0.195275544901821,4.73013020725221,-0.610943471421116,0.589302822192069,34.3,38.2,9.10076988018528,3.89650011062622,7.71914824917192,45.5251494457427,4.92149996757508,2.1445,12.5,2.2333,24.33036,-0.4286864,-0.9596365,-0.9783388,-0.5662374,-0.8042369,31.85,0.1883,43.9,0.2,44.32,73.5,0.2,17.1518699645996,31.6195,587040,46.6911709147164,-19.3561140778288
"Malawi","L",24.9634040539544,62.2825097307322,37.3191056767777,26.2699780178059,66.953941639011,40.6839636212051,-1.30657396385146,-4.67143190827883,-3.36485794442736,5.27,0.0316253197096866,391.309192901729,0.32861307325318,109.438183926351,-63.4088283938182,2.85082441187403,36.9,34,7.91681760290241,6.3769998550415,23.8217267329997,61.8822143077655,7.98199987411499,1.78092,20.8,1.919995,24.58356,-0.4871768,-0.4106808,0.0438958,-0.5748214,-0.11791155,21.9,0.0185,71.4,10.7,303.42,93,0.4,8.25079236030578,15.4865,118480,34.1936053269224,-13.1728349923419
"Malaysia","UM",3.93323968418837,7.22739582220949,3.29415613802112,4.13798592141588,7.44390998536413,3.30592406394825,-0.204746237227513,-0.21651416315464,-0.0117679259271273,2.175,0.0486898381683574,23982.9917089486,0.0734585922424444,6099.95324352974,3280.25834630743,201.572100994297,29.4,3.15,1.10308038069701,3.47000002861023,98.749150074917,96.9640566388304,3.61299991607666,4.80213,9.9,4.622225,10.368175,0.0892673,1.120518,0.1433521,0.5889426,0.46706635,3.85,1.1731,98.6,0.4,4.62,96.5,1.8,99.2946151733398,70.4935,330800,109.69814844863,3.72558842577372
"Mali","L",39.4807846021534,118.621202471034,79.140417868881,40.5246142247386,122.45158581736,81.926971592621,-1.04382962258524,-3.83038334632522,-2.78655372373996,6.4,0.0293695241862618,1150.84515393273,0.129682990486651,206.420485819937,20.3838120707076,31.9751943777994,25.7,15.4,1.78633939621243,8.73299980163575,28.0519690543392,65.4379129242988,11.3984999656677,1.808425,10.2,2.26143,52.438845,-0.6779031,-0.8643363,-0.1828992,-0.4931963,-0.4075701,7.05,0.09705,28.1,1.4,382.95,73,0.1,24.7145913271476,35.5995,1240190,-3.54329433945334,17.2677720617007
"Mauritius","UM",8.99552586757803,13.8804084501311,4.88488258255308,9.09240373455349,14.0659628187252,4.97355908417174,-0.0968778669754542,-0.185554368594115,-0.0886765016186608,1.535,0.0756346014125038,15166.5298287397,0.0945216300427984,3421.32442840454,2044.03214061421,283.593495731847,24.05,3.35,2.72422714757489,7.45549988746643,94.0226332742553,99.7066114164,12.6199998855591,6.37172,17.95,6.234275,0.326375,0.5595223,0.8658755,0.6402588,0.8890533,0.9005559,4.75,1.1938,99.45,1.3,16.12,99,0.6,98.603744506836,41.6105,2040,-10.326396925235,20.2092672063538
"Mexico","UM",5.6833733452738,13.0200894042307,7.33671605895686,5.65741652992852,12.9566188264811,7.29920229655255,0.0259568153452818,0.0634705777495999,0.0375137624043154,2.52,0.0599202401373221,15244.4187520095,0.107963975064855,4138.39510714268,186.320046949149,324.062259613354,37.1,1.6,4.72704153454517,5.32949995994568,84.4168275603211,95.4910067806489,5.26700019836425,5.35291,26.9,5.117395,10.141955,-0.3615492,0.1624299,-0.7264634,0.2527093,-0.55534595,4.65,2.06685,94.69,0.2,0.49,95,1.65,98.9766548847657,77.6675,1964380,-102.576349523987,23.9353719022448
"Moldova","LM",11.7976828623031,16.3311269081425,4.53344404583937,12.6995264772093,17.4755663614504,4.77603988424112,-0.901843614906106,-1.14443945330786,-0.242595838401753,1.41,0.117221865690873,3397.61065806024,0.154303073830254,1218.99239309229,150.320678962123,137.258477569985,25.2,0.1,3.71056613339878,6.92300009727478,75.1954188023151,86.3180554605713,5.30700016021729,6.20876,21.3,6.14242,12.066515,-0.6731094,-0.6626101,-0.3813407,-0.103798,-0.40269125,5.65,2.439,99.45,0.5,0.98,87.5,6.2,99.961181640625,42.6355,33850,28.4104827908033,47.2036764260675
"Mongolia","LM",14.7579241900148,26.9756323134202,12.2177081234054,15.2851999707249,27.9613184219265,12.6761184512016,-0.527275780710069,-0.985686108506346,-0.458410327796278,2.57,0.0364813655187947,8139.0123720034,0.0550056192643335,2979.39811296961,-761.201528074756,50.7755551596009,25.7,0.1,8.83331798771148,6.20449995994568,55.1455573831281,75.9864834386598,6.03150010108947,5.70277,3.9,5.50471,10.368175,-0.7351942,-0.5719746,0.5970423,-0.2405613,-0.3104959,21.5,2.7198,98.4,0.1,6.96,95.5,5.85,78.1507251279199,67.0735,1564120,102.946406208466,46.8236811262636
"Morocco","LM",13.4708705876431,22.6199967217234,9.14912613408027,14.3297803432803,24.1149912103463,9.78521086706602,-0.858909755637169,-1.49499448862292,-0.636084732985751,2.52,0.0570268020602063,7105.36083045786,0.076929488383239,2179.85663383615,869.856653295206,180.620887727429,30,7,0.982710199947019,9.02500009536743,80.3189900016077,76.6051638999336,9.38600015640259,3.44394,10.5,3.72061,23.36461,-0.2049095,-0.1041628,-0.3830133,-0.0808093,-0.19093465,5.3,0.63325,74.1,0.1,16.12,99,1.1,89.7310180664062,57.735,446550,-8.42047954454969,29.8853946983021
"Mozambique","L",25.3632377284806,74.2189309836139,48.8556932551332,26.4613947249027,78.9561544788137,52.494759753911,-1.09815699642205,-4.73722349519976,-3.63906649877771,5.13,0.0251103821801889,811.674669455366,0.123343288820022,249.197108954209,188.168116264088,2.59292821762861,34.7,38.2,7.48808680926344,3.77300000190735,20.275200403103,38.9565041181619,3.36450004577637,1.11031,39.2,1.25945,36.9759,-0.4467431,-0.5825811,0.3944219,-0.3978509,-0.53124755,29.6,0.0458,25.45,11.9,349.09,74,0.9,16.1289615631104,31.579,799380,35.4726159786443,-17.2304489756597
"Namibia","UM",16.2018877095475,38.0697178445688,21.8678301350213,15.5586436583471,35.9463359528136,20.3876922944665,0.64324405120043,2.12338189175523,1.4801378405548,3.485,0.0419907579221806,7023.93512357267,0.148838923837193,2322.81827262848,2600.16018211927,44.7340332805489,51.8,6.6,7.16332319588296,21.8185005187988,31.9481037353482,79.967254404952,23.7230005264283,5.38962,25.65,5.6854,23.36461,0.3374954,0.0661187,0.84694,0.085406,0.17114985,36.9,0.374,99.3,13.4,1.51,83,2.7,44.8543186187744,41.1085,824290,17.1561681261941,-22.0997769317311
"Nepal","L",18.2848702209412,29.5547789607553,11.2699087398142,19.3052673291587,31.4930700489196,12.1878027197609,-1.02039710821751,-1.93829108816429,-0.917893979946784,2.635,0.0474580858446813,840.911036378208,0.0895464150317891,136.171122009907,94.2605642021636,17.3913931204712,26.4,3.1,10.2106639230763,1.54499995708465,39.4567957488636,85.1509577964969,1.29799997806549,3.730745,33.2,3.923165,10.141955,-0.6924811,-0.8735455,-1.583971,-0.7441027,-0.9059426,10.65,2.7198,71.4,0.2,3.91,85.5,0.4,64.9882755279541,16.601,147180,84.0131736769253,28.2394400190494
"Netherlands","H",2.47667306499284,3.87435220303173,1.39767913803889,2.5566831983923,4.00715517659697,1.45047197820467,-0.0800101333994623,-0.132802973565243,-0.0527928401657802,1.775,0.151513323620082,47516.3898127634,0.190298609580395,21586.0872059678,-2505.07361625947,428.115890275,22.4,0,1.23254128289118,3.93149995803833,97.8184034198768,100,3.98750007152557,7.20168,41.35,7.26978,2.41405,2.143759,1.729366,0.9407501,1.731538,1.816929,2.5,2.9516,99.8,0.2,0.98,97,4.7,100,86.711,41540,5.5122171009654,52.2987003744418
"New Zealand","H",2.46907274713866,4.53065602290864,2.06158327576998,2.36755478183884,4.31453269145621,1.94697790961738,0.101517965299823,0.216123331452426,0.114605366152603,2.17,0.128542694657241,33899.8386838007,0.221141319376228,10900.6624653944,3855.18772146558,323.716366416389,34.3,0,2.20883748256568,6.33899998664856,99.999998588287,99.999998588287,6.53750014305115,8.743475,33.6,8.62144,0.19717,2.337902,1.816698,1.236489,1.814871,1.899781,2.5,2.6452,96.45,0.1,0.01,92.5,3.2,100,86.19,267710,172.701925944056,-41.6625787571587
"Nicaragua","LM",8.51274820974836,14.8345710172283,6.32182280747991,9.14223911072745,15.8843106520924,6.74207154136496,-0.629490900979086,-1.04973963486413,-0.420248733885048,2.71,0.0454400253909871,2471.37114396186,0.186305385272568,540.018009521279,310.205763903045,52.7400576118242,34.2,1.9,4.57106793193108,7.99499988555908,67.8923628461351,81.3113899869894,8.53800010681153,3.97848,20.7,3.76009,11.82405,-0.7528315,-0.9621997,-0.4997092,-0.282892,-0.80813955,21.25,0.72585,74,0.2,0.35,98,0.8,77.9868849851074,56.819,130370,-85.0203185008025,12.848190428037
"North Macedonia","UM",5.93414193380759,9.08108173140197,3.14693979759438,7.29888389369546,11.2820668100488,3.98318291635333,-1.36474195988787,-2.20098507864681,-0.836243118758945,1.505,0.117225087029817,10087.8683389235,0.134076639682908,2933.25436125051,-220.118911584092,195.458308498306,28.9,5.05,0.385170628607506,32.099500656128,92.4558767541466,95.8717743324729,32.5280017852783,6.41063,32.5,6.52825,24.58356,-0.0809108,-0.0899654,-0.5185171,0.3209654,-0.2606788,4.25,2.63415,99.85,0.1,0.07,95.5,4.55,98.9766548847657,57.103,25710,21.6979033752808,41.6059296471401
"Norway","H",1.46267014885671,2.55310983286408,1.09043968400737,1.47766879840744,2.58780515089059,1.11013635248314,-0.0149986495507353,-0.0346953180265084,-0.0196966684757733,1.93,0.147932724697929,56855.2679803822,0.173089454644729,27184.9606788297,4104.0356609782,711.936273864836,21.15,0,2.30814613167286,3.31199991703034,98.0631263441701,100.000001881418,2.77400004863739,6.68894,39.6,6.76824,1.20601,2.085211,1.878928,1.332312,1.514319,1.8891705,2.5,4.08635,99.15,0.1,1,93.5,3.8,100,78.9585,385178.0078125,15.4681199552068,69.1568563097536
"Paraguay","UM",4.5562738393792,12.0593739694536,7.50310013007437,4.57275586741482,12.1821307607663,7.60937489335143,-0.0164820280356253,-0.122756791312691,-0.106274763277067,2.81,0.0536401120749326,8695.71385135498,0.105716645299627,2855.92609941857,2.78661838482003,180.447119128821,39.3,1.7,3.62155476250166,5.01449990272522,81.6509804281178,89.7780236260614,6.3659999370575,4.1971,12.5,4.093345,12.449135,-0.7290341,-0.9323817,-0.8348622,-0.3556239,-0.8735869,12.45,0.72585,94.7,0.5,0.08,88.5,1.3,97.1610975,59.099,406750.99609375,-58.3873878335057,-23.2480419462921
"Peru","UM",6.64983900800291,14.9518475086113,8.30200850060842,7.05250183122059,15.6857557011127,8.63325386989209,-0.402662823217677,-0.733908192501346,-0.331245369283669,3.04,0.0675322425948002,9867.67803497569,0.134855493043003,1983.67302236968,1314.11536400521,141.342714431834,34.7,1.8,2.23227606664802,3.68900001049041,70.4455689319228,86.9466285504587,3.87750005722046,4.698875,27.5,4.70285,0.774845,-0.2288108,-0.1911707,-0.9999154,0.4503337,-0.5883533,11.9,0.9302,83.15,0.3,3.22,93,1.55,87.2736905,76.3355,1285220,-74.3918058168472,-9.19156290513455
"Philippines","LM",11.7520929077813,26.1595061329022,14.4074132251209,12.2573251615975,27.4109328893261,15.1536077277285,-0.505232253816173,-1.25142675642382,-0.746194502607645,3.515,0.0411664364638012,4106.74975598674,0.0665404811455296,682.913691749926,445.49085127581,71.0997004745581,36.3,2.4,4.00443343431109,3.7315000295639,68.1732375745791,89.8679610446192,3.96099996566773,3.54925,21.55,3.42746,6.15531,-0.7604865,0.001555,-1.65076,-0.2335325,-0.56154225,13.15,1.2704,65.25,0.1,1,83,0.5,83.4736251831055,45.3515,300000,122.902672369887,11.7637993622977
"Poland","H",2.66286899169193,4.3781800644583,1.71531107276637,2.85493915961473,4.6819852801986,1.82704612058387,-0.192070167922801,-0.303805215740297,-0.111735047817496,1.37,0.134378375669254,24694.0455944404,0.105292914744353,9775.79240860306,-86.5913783841315,292.528992978769,25.8,0.1,3.18804306366976,8.90199995040894,93.9382739917126,97.2032056151842,9.34299993515016,5.732525,20,5.7366,7.89906,0.4970796,0.640949,1.01733,0.9808911,0.6559902,2.5,2.171,99.75,0.4,0.24,99,6.6,100,60.948,312680,19.3110143084487,52.1482602193319
"Portugal","H",1.7830104909772,3.3784271614457,1.5954166704685,2.02486677200248,3.73186153770864,1.70699476570616,-0.241856281025275,-0.353434376262932,-0.111578095237658,1.33,0.182652037981936,27749.4403830191,0.11848927673414,13075.4748026531,-1587.38842627213,613.056153327738,27.8,0.05,0.28352143872477,10.1010003089905,98.7192705876105,99.5264664569577,10.9770002365113,6.46059,27.4,6.34677,0.91098,1.090371,1.010235,0.717687,0.7198218,1.0607595,2.5,3.78955,99.75,0.6,0,97,3.35,100,60.2655,92210,-8.05576558829569,39.6340497749782
"Romania","UM",4.17658984914422,8.80093359178086,4.62434374263664,4.23342679583213,8.82872136153934,4.59529456570721,-0.0568369466879091,-0.0277877697584721,0.0290491769294352,1.485,0.156180049106233,11246.923312581,0.114766644343878,3668.5227261214,795.511550979794,97.7267581794604,25.35,1.3,5.83941836433142,6.90900015830993,78.6746404858795,100,6.00800013542175,7.930545,11.4,7.95028,6.783225,-0.2265265,-0.2655292,0.2736004,0.6428855,0.04681065,2.5,2.4842,98.5,0.1,3.22,94.5,6.45,100,53.7635,238390,24.9432524946354,45.857101035738
"Russian Federation","UM",3.98100391057832,7.49300373012646,3.51199981954814,4.07376593498695,7.6038661777661,3.53010024277916,-0.0927620244086276,-0.110862447639647,-0.0181004232310191,1.545,0.126742785042014,25170.59,0.09155621280523,9068.61,1623.99815937914,394.7075,30.85,0,9.24836093948105,7.8349997997284,87.3436665870363,96.1243680526709,7.25250005722046,5.89766,14,5.94786,7.89906,-1.090531,-0.4688114,-0.9294587,-0.3532888,-0.77063055,2.5,2.3984,99.7,0.2,9.63,97.5,8.9,100,73.6645,17098245,96.803318182901,61.9616634949229
"Saudi Arabia","H",4.81542438529282,8.9309281129997,4.11550372770688,5.21422956571362,9.73035965411168,4.51613008839806,-0.398805180420799,-0.79943154111198,-0.400626360691182,2.305,0.0240342768997491,58016.6188343971,0.0901296470114596,19487.5004441684,1628.37066855764,329.075771147068,25.95,0.35,5.19832004584619,5.46500015258789,99.2124221660253,98.7149896607065,16.8499994277954,5.38962,0,5.76606,8.55042,0.0405474,-0.0069224,-0.226727,0.1612306,0.1026482,7.3,2.2403,97,0.1,0.01,98,2.2,100,81.9755,2149690,44.5163637682648,24.1232898391053
"Slovenia","H",1.37225090683285,2.20854070440742,0.836289797574575,1.51802293135225,2.41008724259353,0.892064311241275,-0.145772024519409,-0.201546538186109,-0.0557745136667003,1.56,0.164842941381322,29703.0433502218,0.112091903788676,16743.1322899234,241.322235231179,284.700622111265,20.65,0,1.3202162340826,6.54649996757508,99.1087098812824,99.5604589557682,6.41149997711181,6.85559,14.4,6.868825,0.910435,0.9228679,1.026441,0.8665088,0.7612643,1.04191,2.5,2.4345,99.9,0.1,1,96,4.6,100,52.5455,20270,14.9381523207957,46.1254220590104
"South Africa","UM",11.5990539609894,30.0968542231944,18.4978002622049,12.5520365248622,33.5732677120419,21.0212311871797,-0.952982563872807,-3.47641348884758,-2.52343092497479,2.47,0.0520749849592397,9336.84261273211,0.139083777037606,2860.58792728691,934.067672485322,52.4171717381404,51.3,4.9,5.66405055902999,24.1155004501342,68.5790290201065,89.3915293772481,26.3020000457763,4.725885,44.5,4.5968,16.20396,0.1314679,0.3921409,-0.029427,0.3634101,0.13258115,4.45,0.7289,83.15,18.7,1.56,79,4.5,82.8,61.9525,1219090,25.0480138798617,-28.9470332599791
"Spain","H",1.76323268632265,3.23268308506191,1.46945039873926,1.77322816797186,3.23277397033142,1.45954580235956,-0.00999548164921382,-0.0000908852695133966,0.0099045963797002,1.35,0.167746350448818,34447.517108362,0.141176581687119,14664.4441338181,-862.72386299249,577.781641776711,25.95,0.55,0.75594224773371,18.8585004806518,99.9037057680621,99.9999999929817,19.1774997711181,7.082425,36.6,6.98719,0.326375,1.084354,0.9947988,-0.3180437,1.160325,1.1757665,2.5,4.22685,98.3,0.4,9.63,96.5,3.2,100,78.326,505485,-3.61702060238737,40.3486561062267
"Sri Lanka","LM",5.23369949061529,8.37653405547201,3.14283456485672,5.49321947395446,8.86919423601489,3.37597476206043,-0.259519983339175,-0.492660180542883,-0.233140197203708,2.215,0.0706861058255234,8979.63636844244,0.0975968338719567,1377.30671768841,173.837139677984,138.943224121898,29.9,0.4,4.84130605705346,5.39499998092652,90.6815386437815,85.0794767587696,8.26750016212464,7.80432,5.55,7.76203,6.67924,-0.4213479,-0.1950061,-0.9429469,-0.2178601,-0.11429495,14.15,0.70525,95,0.1,0.15,98,3.5,84.5539993286133,18.234,65610,80.6672357493165,7.7005344172481
"Sudan","LM",23.8161497347911,50.9609743943808,27.1448246595898,24.8846193725355,53.7831830707737,28.8985636982382,-1.06846963774438,-2.82220867639285,-1.75373903864847,5.235,0.0317880069202602,227.758634787936,0.120629008177221,29.3155457908084,29.750143481791,8.12921436560478,26.7,4,12.2469702532673,13.1760001182556,27.5791183595816,51.1670963133859,24.3629999160766,1.974285,22.25,2.12668,16.33382,-1.187256,-1.343785,-2.665278,-1.348169,-1.27793,22.5,0.28,72.4,0.2,27.98,85.5,0.7,32.2376499176026,33.041,587040,29.8626040122579,15.9905850031167
