"LOCATION","INCOME_CLASS","RATE_NEO_2017","RATE_U5_2017","RATE_NEO_U5_2017","RATE_NEO_2016","RATE_U5_2016","RATE_NEO_U5_2016","DELTA_RATE_NEO","DELTA_RATE_U5","DELTA_RATE_NEO_U5","FERTILITY_RATE_LAGGED","PLUS_65_YEARS_LAGGED","GDP_PPP_LAGGED1","PROP_PUBLIC_HEALTH_EXP_LAGGED2","PUBLIC_EXP_LAGGED2","TAX_PPP_LAGGED3","OOP_PPP_LAGGED4","GINI_LAGGED","POVERTY_GAP_LAGGED","INFLATION_LAGGED","UNEMPLOYMENT_LAGGED","BASIC_SANITATION_LAGGED","BASIC_WATER_LAGGED","UNEMPLOYMENT_FEM_LAGGED","SCHOOL_FEM_LAGGED","WOMEN_PARLIAMENT_LAGGED","SCHOOL_LIFE_EXP_LAGGED","OUT_OF_SCHOOL_LAGGED","CONTROL_CORRUPTION_LAGGED","GOV_EFFECTIVENESS_LAGGED","POLITICAL_STABILITY_LAGGED","REGULATORY_QUALITY_LAGGED","RULE_OF_LAW_LAGGED","UNDERNOURISHMENT_LAGGED","DOCTORS_LAGGED","DELIVERY_ASSISTANCE_LAGGED","AIDS_PREVALENCE_LAGGED","MALARIA_INCIDENCE_LAGGED","DPT_LAGGED","HOSPITAL_BEDS_LAGGED","ELECTRICITY_LAGGED","URBAN_RATE_LAGGED","SURFACE","LONG","LAT"
"Colombia","UM",7.18716261718364,13.7139582998957,6.52679568271209,7.43785050989277,14.2194475470247,6.78159703713188,-0.25068789270913,-0.505489247128919,-0.254801354419789,2.45,0.0703209055408363,13148.9672103378,0.131009711164455,3508.35800146333,-777.177359981377,130.170107690714,43.25,3.15,3.23611401652917,11.5250000953674,81.7680610110991,94.7591326236135,15.0460000038147,6.32761,10.55,6.037755,0.763185,-0.385391,-0.0592384,-1.537185,0.2534749,-0.3485316,10.75,1.5557,98.85,0.4,16.12,90,1.65,96.423112,77.7755,1141750,-73.0777320869748,3.9272138627097
"Congo, Rep.","LM",18.455417639169,51.6451155109393,33.1896978717703,18.5804253584883,52.4982199592131,33.9177946007248,-0.125007719319296,-0.853104448273818,-0.728096728954519,4.22,0.0296930175430934,1800.05385680842,0.0316277988524069,836.529841499183,104.53202381759,14.5298841807674,51.8,6.6,2.40326437958993,15.1245002746582,15.8164999794386,65.3633317535712,17.1044998168945,1.84773,7.3,2.2333,36.9759,-1.146635,-1.227733,-0.3164158,-1.27373,-1.2190305,40.9,0.095,28.1,3.15,190.54,76,2,39.8079574584961,63.028,342000,15.1344617674135,-0.837801087225289
"Costa Rica","UM",5.3595601771208,8.1461684023313,2.7866082252105,5.57646375475694,8.49112090745711,2.91465715270017,-0.216903577636147,-0.344952505125812,-0.128048927489666,1.895,0.068552536457402,13609.6545808087,0.295945836006827,2389.99536607215,789.12181355822,221.40205236319,38.25,0.9,6.75270342497421,7.44199991226196,95.5705880773542,98.0386140265529,9.3415002822876,5.130385,37.7,5.02263,0.605385,0.7081604,0.3081369,0.6915372,0.4651055,0.54359275,5.2,2.06685,97.2,0.3,0.07,87,1.2,99.202769,71.1555,51100,-84.1754230960095,9.96567112746453
"Cote d'Ivoire","LM",29.7238274571617,76.1646417240153,46.4408142668536,30.9527224088686,80.0065671887552,49.0538447798866,-1.22889495170682,-3.84192546473986,-2.61303051303303,4.96,0.0234177410002535,2842.10379504436,0.0783858987842691,537.852837144278,956.590951213028,78.3617568762183,34.7,3.35,1.12298034933307,6.62150001525879,26.4851454758734,72.0327376432025,6.69000005722046,1.974285,8.9,2.12668,12.95505,-1.157896,-1.285643,-1.583894,-0.9260469,-1.2258905,21.85,0.144,71.4,3.65,389.18,83,0.7,58.0272388458252,47.12,322460,-5.61204364522522,7.55375500701049
"Croatia","UM",2.76777649749132,4.31116988905197,1.54339339156065,3.06181141837529,4.7619753553602,1.70016393698491,-0.29403492088397,-0.450805466308224,-0.156770545424254,1.495,0.175290626204768,21776.6845168001,0.116719463655872,9975.36427776195,1777.99501759339,215.281904810622,24.05,0.8,1.70454175619123,10.4109997749329,96.3562906832718,99.2229371462601,11.5060000419617,8.23849,23.5,8.017165,1.03026,0.0592684,0.6223207,0.6084636,0.5743341,0.1820466,2.5,2.8428,99.9,0.1,2.55,96.5,5.5,100,55.071,56590,16.5661897716455,45.0162339959311
"Cyprus","H",1.80028331936214,3.074956079487,1.27467276012486,1.92029758124712,3.28330358856632,1.3630060073192,-0.120014261884982,-0.208347509079323,-0.0883332471943405,1.22,0.114359194352206,31902.0904911898,0.0696746948176667,12904.2706885485,-3740.35547605059,998.530232717165,25.95,0,2.30814613167286,5.81349992752075,99.5402969388325,99.7760011456285,5.9465000629425,5.74012,12.5,5.703855,2.15354,0.9748735,1.53183,0.4524448,1.423306,1.214542,4.35,2.1313,98.45,0.1,0.07,99,3.6,100,67.623,9250,33.0395538029541,34.9070608509434
"Czech Republic","H",1.31057124696297,2.76517836235361,1.45460711539063,1.55763415712635,3.23869941169543,1.68106525456908,-0.247062910163381,-0.473521049341829,-0.226458139178447,1.5,0.154643561444375,30993.089872053,0.150877182724973,12016.0204205735,1321.86795980925,275.92473764838,22.35,0,1.2460523130098,6.97049999237061,99.1376530096608,99.8537357892112,8.09100008010864,7.57586,18.75,7.54067,1.20601,0.3316386,0.9052177,0.9892337,1.299505,0.95603585,2.5,3.5744,99.75,0.1,0.15,99,7.05,100,73.2895,78870,15.3345581023658,49.775245294369
"Denmark","H",2.14757247393885,3.65666172602593,1.50908925208709,2.2237168593576,3.79379127066785,1.57007441131025,-0.0761443854187509,-0.137129544641918,-0.0609851592231672,1.82,0.161088677794502,46012.637184104,0.154299743316986,24607.3391249043,4192.14803494848,579.734423863546,22.15,0.05,1.80781713999562,6.73550009727478,99.5972362524734,100.00000220037,5.88849997520447,7.306675,38,7.27006,0.15431,2.358993,2.09679,1.040961,1.876393,1.9111445,2.5,3.4902,98.6,0.1,2.3,89.5,3.5,100,86.7245,43090,9.876372937675,56.0639344617945
"Dominican Republic","UM",17.5162390869481,26.501479575133,8.98524048818499,17.9939028071641,27.3998016097039,9.40589880253973,-0.477663720216093,-0.898322034570825,-0.420658314354736,2.4,0.0622652892205454,9595.41404005187,0.151981405950906,1483.0886226289,890.900011890577,163.958894511851,37.6,0.7,3.88604175990249,5.33949995040894,81.2035306229292,94.1992941008526,7.49749994277954,5.085515,20.25,4.801955,8.50648,-0.8436301,-0.6435439,-0.044954,-0.1522817,-0.7904778,17.55,1.0328,96.9,1.2,0.78,85,1.3,98.001587,73.1475,48670,-70.4623584569753,18.8844870879823
"Egypt, Arab Rep.","LM",7.7676467867712,20.6243160179646,12.8566692311934,8.09604873377415,21.9961008066861,13.9000520729119,-0.328401947002956,-1.37178478872151,-1.04338284171855,2.895,0.0346502944690071,13215.815069963,0.0426695581381484,4322.55447199506,-2558.44803366776,320.658503790929,26.1,0.2,11.5143418519815,8.92199993133545,93.3397810676844,98.5636684238623,22.2530002593994,4.0368,7.25,4.07478,8.55042,-0.6313661,-0.3705819,-0.8984183,-0.1746296,-0.14229825,4.5,2.817,61.5,0.1,0.86,97,1.7,99.5145797729492,43.029,1001450,29.8444615131244,26.5066199997496
"El Salvador","LM",5.64988007698827,12.6222611076427,6.97238103065446,5.99096423450276,13.3793122327589,7.38834799825614,-0.341084157514492,-0.757051125116167,-0.415966967601675,2.06,0.0700868311057911,8201.93225861265,0.213243710726717,1711.83839548699,998.669554014155,163.152810333,34.6,1.55,1.11764303302439,6.11150002479553,85.6138834927785,89.1685209024762,4.53999996185303,4.140085,19,4.17597,6.69709,-0.2769412,0.007418,0.0588422,0.3630272,-0.78011465,12.15,1.596,97.75,0.7,0.02,90,1.05,91.332129,65.011,21040,-88.8729031703238,13.7260916257942
"Equatorial Guinea","UM",17.8414530686379,47.2543731027568,29.4129200341189,18.035930679826,48.37326291405,30.3373322342241,-0.194477611188052,-1.11888981129324,-0.924412200105188,4.83,0.0229309793925084,25895.5237682903,0.014888898728923,9059.53304530167,6957.04795642637,336.244464332656,36.9,4,6.24011557869281,8.1690001487732,63.4227564137652,59.8665815901357,8.87900018692017,1.11031,10,2.49283,52.438845,-1.469079,-1.679618,0.2361282,-1.38044,-1.2857665,34.55,0.1311,34.3,5.6,401.26,43.5,2,65.2736282348633,65.149,28050,10.366031325064,1.64586431996008
"Estonia","H",1.29782210844722,3.03267053478411,1.7348484263369,1.36356609052246,3.17364944009439,1.81008334957193,-0.0657439820752468,-0.140978905310279,-0.0752349232350322,1.66,0.174428324563776,24180.6779560391,0.120078104461041,8892.97615618854,3867.26223808171,240.985077531257,24.35,0.3,1.44681840443797,15.1275005340576,99.3594606090452,99.507511524994,12.1904997825622,6.200055,22.8,6.144215,5.710055,0.9951673,1.085701,0.661367,1.390466,1.145481,2.6,3.2422,99.25,0.7,0.15,94.5,5.3,100,68.1585,45230,25.8247256130266,58.6436954266309
"Ethiopia","L",24.1589789910057,53.4399111691459,29.2809321781402,25.6246163004932,57.3347869327856,31.7101706322924,-1.46563730948753,-3.89487576363971,-2.42923845415218,5.43,0.0252930167232626,1632.55046953731,0.10514596209693,243.606770063664,104.391908823846,20.1867558059063,27.4,9,8.31645403747685,2.37200009822845,5.58682384032883,32.3873017860982,3.08200001716614,1.84773,24.85,2.09383,42.187235,-0.6906257,-0.4322301,-1.635101,-0.8702891,-0.814369,32.9,0.0236,41.85,1.35,129.13,59.5,0.1,24.2114086151123,17.1145,1104300,39.5512557929377,8.65399918813258
"Fiji","UM",11.9162824645919,25.0969744688044,13.1806920042125,11.9979559005387,25.5671815430028,13.5692256424641,-0.0816734359468096,-0.470207074198427,-0.388533638251616,2.77,0.0463926716862503,8558.07342620668,0.078396844026834,2102.24596399327,569.492513622143,56.915227339552,29.9,1.55,3.4292146728595,4.25450015068054,88.5135677005067,94.1342492685683,4.6470000743866,6.36947,17.95,6.08412,2.74166,-0.4590918,-0.7242388,-0.1908275,-0.6676897,-0.80974685,4.5,0.4313,99.75,1.2,0.37,99,2.1,88.8087882995605,51.9145,18270,163.85316464458,-17.3163094263826
